FechaContable,FechaTransaccion,HoraTransaccion,Empresa,Paradero,StrParadero,Linea,StrLinea,Bus,TipoValidacion,RutaSae,StrRutaSae,Cenefa
2020-11-15,2020-11-15,04:56:42,105,52358,060A05_TM|060A05_Defensa Civil Santa Helenita,1083,402,507113,Transbordo,4788,,060A05
2020-11-15,2020-11-15,04:56:46,105,50255,524A12_GM|Urb. Rincï¿½e Bolonia_524A12,938,614,504302,Transbordo,4067,,524A12
2020-11-15,2020-11-15,04:56:50,105,50255,524A12_GM|Urb. Rincï¿½e Bolonia_524A12,938,614,504302,Transbordo,4067,,524A12
2020-11-15,2020-11-15,04:56:57,105,50255,524A12_GM|Urb. Rincï¿½e Bolonia_524A12,938,614,504302,Transbordo,4067,,524A12
2020-11-15,2020-11-15,04:57:02,105,50255,524A12_GM|Urb. Rincï¿½e Bolonia_524A12,938,614,504302,Transbordo,4067,,524A12
2020-11-15,2020-11-15,04:57:06,105,50255,524A12_GM|Urb. Rincï¿½e Bolonia_524A12,938,614,504302,Transbordo,4067,,524A12
2020-11-15,2020-11-15,04:57:45,105,52769,207A05_TM|207A05_Br. San Antonio Urbano,1083,402,507000,Transbordo,4788,,207A05
2020-11-15,2020-11-15,04:57:49,105,52769,207A05_TM|207A05_Br. San Antonio Urbano,1083,402,507000,Transbordo,4788,,207A05
2020-11-15,2020-11-15,04:57:52,105,52769,207A05_TM|207A05_Br. San Antonio Urbano,1083,402,507000,Transbordo,4788,,207A05
2020-11-15,2020-11-15,04:57:55,105,52769,207A05_TM|207A05_Br. San Antonio Urbano,1083,402,507000,Transbordo,4788,,207A05
2020-11-15,2020-11-15,04:58:42,105,27721,173A05_GM|Br. ï¿½amos - 173A05,963,SE6_GM,504314,Transbordo,4052,,173A05
2020-11-15,2020-11-15,04:58:54,105,52764,204A05_TM|204A05_Br. San Antonio Engativ,1083,402,507000,Transbordo,4788,,204A05
2020-11-15,2020-11-15,04:58:57,105,52764,204A05_TM|204A05_Br. San Antonio Engativ,1083,402,507000,Transbordo,4788,,204A05
2020-11-15,2020-11-15,04:59:17,105,52685,179B05_TM|179B05_Br. Boyac,1083,402,507113,Transbordo,4788,,179B05
2020-11-15,2020-11-15,04:59:38,105,33901,093A12_TZ|093A12,154,802,504311,Transbordo,3853,,093A12
2020-11-15,2020-11-15,04:59:40,105,27722,172A05_GM|C.C. Diver Plaza ï¿½amos - 172A05,963,SE6_GM,504314,Transbordo,4052,,172A05
2020-11-15,2020-11-15,04:59:46,105,50264,204A12_GM|Br. La Cabaï¿½04A12,938,614,504302,Transbordo,4067,,204A12
2020-11-15,2020-11-15,04:59:49,105,53838,115A08_TM|115A08_Corabastos,1030,740,504355,Transbordo,4509,,115A08
2020-11-15,2020-11-15,05:00:05,105,42715,395A12_TZ.|395A12 - Br. Callejon Santa Barbara,383,806,502115,Transbordo,3122,,395A12
2020-11-15,2020-11-15,05:00:07,105,53084,411A05_TM|411A05_Br. Viï¿½el Mar,1083,402,507000,Transbordo,4788,,411A05
2020-11-15,2020-11-15,05:00:08,105,42715,395A12_TZ.|395A12 - Br. Callejon Santa Barbara,383,806,502115,Transbordo,3122,,395A12
2020-11-15,2020-11-15,05:00:12,105,42715,395A12_TZ.|395A12 - Br. Callejon Santa Barbara,383,806,502115,Transbordo,3122,,395A12
2020-11-15,2020-11-15,05:00:13,105,53084,411A05_TM|411A05_Br. Viï¿½el Mar,1083,402,507000,Transbordo,4788,,411A05
2020-11-15,2020-11-15,05:00:24,105,50266,473A12|Br. Gran Yomasa II Sector_473A12,938,614,504302,Transbordo,4067,,473A12
2020-11-15,2020-11-15,05:00:26,105,33902,094A12_TZ|094A12,154,802,504311,Transbordo,3853,,094A12
2020-11-15,2020-11-15,05:00:27,105,29469,222A05_GM|LA ESPERANZA_222A05,320,C101,504354,Transbordo,3192,,222A05
2020-11-15,2020-11-15,05:00:28,105,50266,473A12|Br. Gran Yomasa II Sector_473A12,938,614,504302,Transbordo,4067,,473A12
2020-11-15,2020-11-15,05:00:32,105,29469,222A05_GM|LA ESPERANZA_222A05,320,C101,504354,Transbordo,3192,,222A05
2020-11-15,2020-11-15,05:00:34,105,33902,094A12_TZ|094A12,154,802,504311,Transbordo,3853,,094A12
2020-11-15,2020-11-15,05:00:38,105,33902,094A12_TZ|094A12,154,802,504311,Transbordo,3853,,094A12
2020-11-15,2020-11-15,05:00:40,105,33902,094A12_TZ|094A12,154,802,504311,Transbordo,3853,,094A12
2020-11-15,2020-11-15,05:01:27,105,42716,281A12_GM|281A12,383,806,502115,Transbordo,3122,,281A12
2020-11-15,2020-11-15,05:01:31,105,42716,281A12_GM|281A12,383,806,502115,Transbordo,3122,,281A12
